"squirrel_id","percent_return","observations","ALR","LRS","LBS","litter_id","litter_size","year","field_bdate","n1_date","tag_date","grid","locx","locy","ln","food","father_id","mother_byear","mother_bcert","maternal_grandma_id","mom_dates","mom_datee","dam_age","julian","mom_longevity.x","litter_fit","ARS","std_ls","std_ARS","mean_growthRate","yrf","std_growth","std_julian","std_litter_fit","average_latency","mast_encounter","mast_encounter1","mom_longevity.y","exp","scaled_lat","scaled_long"
20051,0,1,3,0,8,6542,4,2016,"4/19/16","4/20/16","5/21/16","AG","B.0",-0.5,1,1,NA,2014,"Y",12095,"4/22/14","5/29/17",2,110,1133,0,0,1.815364029,0,1.645967742,2016,-0.147466053,1.378932185,0,420,0,"no",1133,1,0.941763647,-0.430874046
20060,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"yes",1988,0,NA,NA
20061,75,4,4,0,8,6545,3,2016,"4/19/16","4/20/16","5/14/16","SU","-3",2,1,0,NA,2014,"Y",12462,"4/22/14","8/15/18",2,110,1576,0,0,0.755449448,0,1.683333333,2016,-0.589460568,0.026585341,0,264,0,"no",1576,0,-0.378662252,0.236737179
20079,33.33333333,2,4,0,9,6620,3,2016,"4/14/16","4/14/16","5/8/16","KL","G.0",3.5,1,0,NA,2014,"Y",12513,"4/24/14","5/15/18",2,105,1482,0,0,1.033694143,0,1.513888889,2016,-0.423777147,-0.601138367,0,333.3333333,0,"no",1482,0,0.208193703,0.09507701
20138,50,2,3,1,3,7762,3,2017,"4/29/17","4/29/17","5/24/17","AG","J.0",5.5,1,1,NA,2014,"Y",11737,"4/22/14","6/6/18",3,119,1506,1,1,0.133174275,1.5625,1.592,2017,-0.255471962,0.408743853,1.5625,354.5,0,"no",1506,1,0.387354055,0.131245564
20148,66.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no",1512,0,NA,NA
20163,100,1,2,1,7,6180,2,2015,"3/31/15","3/31/15",NA,"AG","Q.5",-0.5,1,1,NA,2014,"Y",19317,"4/30/14","4/22/17",1,90,1088,0,0,-1.352246808,0,NA,2015,NA,0.361155504,0,108,0,"no",1088,1,-1.69908815,-0.498690084
20166,0,1,1,1,6,6218,3,2015,"4/6/15","4/6/15","5/2/15","AG","P.0",2,1,1,NA,2014,"Y",19317,"4/30/14","8/23/16",1,96,846,0,0,0.338061702,0,1.624358974,2015,-0.469662267,0.875208958,0,420,0,"no",846,1,0.941763647,-0.86338967
20182,66.66666667,3,2,3,10,6208,3,2015,"4/2/15","4/4/15","4/29/15","AG","B.0",14.5,1,1,NA,2014,"Y",10895,"4/28/14","5/19/18",1,92,1482,0,0,0.338061702,0,1.249333333,2015,-1.349868473,0.532506655,0,220.3333333,0,"no",1482,1,-0.748268647,0.09507701
20184,50,2,3,1,10,6552,3,2016,"4/13/16","4/13/16","5/8/16","AG","B.0",15,1,1,NA,2014,"Y",10895,"4/28/14","7/14/18",2,104,1538,1,1,0.24754964,2.3125,1.897333333,2016,0.466996985,0.905790075,2.3125,411,0,"no",1538,1,0.865585229,0.179470302
20191,75,4,5,4,18,6204,4,2015,"4/1/15","4/4/15","4/29/15","KL","K.0",7.5,1,0,NA,2014,"Y",13305,"4/29/14","8/15/19",1,91,1934,0,0,1.246800195,0,1.245,2015,-1.422160222,0.692589819,0,241,0,"yes",1934,0,-0.573340429,0.776251443
20220,66.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"yes",1929,0,NA,NA
20225,66.66666667,3,5,1,8,8028,3,2017,"4/13/17","4/19/17","5/10/17","AG","C.0",6,1,1,NA,2014,"Y",12186,"4/26/14","9/13/19",3,103,1966,1,1,0.133174275,1.5625,2.350793651,2017,1.446456528,-0.646078994,1.5625,206.3333333,0,"yes",1966,1,-0.866768407,0.824476181
20229,0,1,3,0,3,7769,1,2017,"4/29/17","4/29/17",NA,"AG","F.5",0,1,1,NA,2014,"Y",12939,"4/29/14","6/10/18",3,119,1503,0,0,-2.720560197,0,NA,2017,NA,0.408743853,0,420,0,"no",1503,1,0.941763647,0.126724494
20231,100,3,3,1,13,6222,3,2015,"4/5/15","4/7/15","4/30/15","AG","O.5",11,1,1,NA,2014,"Y",19325,"4/30/14","7/22/18",1,95,1544,1,1,0.338061702,8.125,1.208695652,2015,-1.44524739,0.789533382,8.125,193.6666667,0,"no",1544,1,-0.973982475,0.188512441
20241,0,1,3,0,3,7912,3,2017,"5/2/17","5/2/17","5/30/17","JO","E.0",12.5,1,15,NA,2014,"Y",12700,"5/3/14","4/18/18",3,122,1446,0,0,0.79140906,0,1.348809524,2017,0.295278394,-0.674424874,0,420,0,"no",1446,0,0.941763647,0.040824179
20255,0,1,3,2,6,7771,3,2017,"4/28/17","5/11/17","5/23/17","AG","H.0",17.5,1,1,NA,2014,"Y",19275,"5/3/14","7/8/18",3,118,1527,2,2,0.133174275,3.125,1.283333333,2017,-0.947792718,0.342817425,3.125,420,0,"no",1527,1,0.941763647,0.162893048
20265,100,2,3,0,3,8106,3,2017,"5/6/17","5/6/17","6/3/17","JO","K.0",10.5,1,15,NA,2014,"Y",12037,"5/6/14","6/19/17",3,126,1140,0,0,0.79140906,0,1.38452381,2017,0.407130808,-0.341118373,0,137,0,"no",1140,0,-1.453624362,-0.420324884
20281,0,1,3,0,6,6561,3,2016,"4/10/16","4/13/16","5/5/16","JO","F.5",18.5,1,14,NA,2014,"Y",19553,"5/5/14","8/15/18",2,101,1563,0,0,0.378785244,0,1.565151515,2016,0.461744455,-0.306194405,0,420,0,"no",1563,14,0.941763647,0.217145879
20287,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"no",1835,0,NA,NA
