"","squirrel_id","grid_year","nest","n_pups","scaled_mom_age","scaled_mom_age_squared","scaled_density","year","predator","scaled_julian_date","ARS","m_return","m_return_numeric"
"166",21783,"AG_2017","1",3,-1.01101321585903,1.02214772264162,-1.125000137,"nonmast","low predator",-1.251540893,0,"y",1
"167",22007,"AG_2017","2",4,-0.0110132158590308,0.000121290923557608,0.298488701,"nonmast","low predator",-0.236463519,0,"y",1
"168",22007,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,0.298488701,"nonmast","low predator",-0.236463519,0,"y",1
"169",21583,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.934329214,1,"y",1
"170",22388,"AG_2017","2",4,-1.01101321585903,1.02214772264162,0.039672549,"nonmast","low predator",-1.061213885,1,"y",1
"171",19989,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.07785768,2,"y",1
"172",19398,"AG_2017","2",3,0.988986784140969,0.978094859205496,0.68671293,"nonmast","low predator",-0.648838702,0,"y",1
"173",19398,"AG_2017","1",3,0.988986784140969,0.978094859205496,-1.125000137,"nonmast","low predator",-0.648838702,0,"y",1
"174",20977,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,0.816121006,"nonmast","low predator",-0.046136512,0,"y",1
"175",22076,"AG_2017","1",3,-1.01101321585903,1.02214772264162,-1.125000137,"nonmast","low predator",-0.617117534,1,"y",1
"176",22630,"AG_2017","1",3,NA,NA,-1.125000137,"nonmast","low predator",-0.712281038,NA,"y",1
"177",21943,"BT_2016","2",3,-1.01101321585903,1.02214772264162,0.450714745,"nonmast","low predator",-0.585396366,0,"n",0
"178",21943,"BT_2016","1",3,-1.01101321585903,1.02214772264162,0.450714745,"nonmast","low predator",-0.585396366,0,"n",0
"179",21935,"BT_2016","2",3,-1.01101321585903,1.02214772264162,0.936099856,"nonmast","low predator",-0.490232863,0,"n",0
"180",22136,"BT_2016","1",2,-1.01101321585903,1.02214772264162,-1.248133141,"nonmast","low predator",-0.902608046,0,"n",0
"181",22136,"BT_2016","2",2,-2.01101321585903,4.04417415435968,1.300138689,"nonmast","low predator",-0.902608046,0,"n",0
"182",22166,"BT_2016","1",3,-2.01101321585903,4.04417415435968,-1.248133141,"nonmast","low predator",-1.061213885,0,"n",0
"183",21948,"BT_2016","2",1,-1.01101321585903,1.02214772264162,-1.248133141,"nonmast","low predator",-1.188098557,0,"n",0
"184",21948,"BT_2016","1",1,-1.01101321585903,1.02214772264162,-1.248133141,"nonmast","low predator",-1.188098557,0,"n",0
"185",21952,"BT_2016","1",3,-1.01101321585903,1.02214772264162,-1.248133141,"nonmast","low predator",-1.061213885,1,"n",0
"186",22167,"BT_2016","2",3,-1.01101321585903,1.02214772264162,0.693407301,"nonmast","low predator",-0.68055987,0,"n",0
"187",21950,"BT_2016","2",2,-1.01101321585903,1.02214772264162,0.329368468,"nonmast","low predator",-0.744002206,0,"n",0
"188",22166,"BT_2016","2",3,-2.01101321585903,4.04417415435968,0.936099856,"nonmast","low predator",-1.061213885,0,"y",1
"189",21952,"BT_2016","2",3,-0.0110132158590308,0.000121290923557608,0.814753578,"nonmast","low predator",-1.061213885,1,"y",1
"190",21950,"BT_2016","1",2,-1.01101321585903,1.02214772264162,0.329368468,"nonmast","low predator",-0.744002206,0,"y",1
"191",21941,"BT_2017","2",1,-0.0110132158590308,0.000121290923557608,-0.779512256,"nonmast","low predator",0.302796335,0,"n",0
"192",21941,"BT_2017","1",1,-0.0110132158590308,0.000121290923557608,1.012899159,"nonmast","low predator",0.302796335,0,"n",0
"193",21953,"BT_2017","2",3,-0.0110132158590308,0.000121290923557608,-0.779512256,"nonmast","low predator",-0.046136512,0,"n",0
"194",21953,"BT_2017","1",3,-0.0110132158590308,0.000121290923557608,0.863531541,"nonmast","low predator",-0.046136512,0,"n",0
"195",22136,"BT_2017","2",3,-1.01101321585903,1.02214772264162,-0.779512256,"nonmast","low predator",-0.109578848,1,"n",0
"196",21934,"BT_2017","1",2,-0.0110132158590308,0.000121290923557608,0.863531541,"nonmast","low predator",-0.268184687,0,"n",0
"197",22112,"BT_2017","2",3,-1.01101321585903,1.02214772264162,-0.779512256,"nonmast","low predator",0.873777358,0,"n",0
"198",22112,"BT_2017","1",3,-1.01101321585903,1.02214772264162,-0.779512256,"nonmast","low predator",0.873777358,0,"n",0
"199",22166,"BT_2017","2",3,-1.01101321585903,1.02214772264162,-0.779512256,"nonmast","low predator",-0.109578848,0,"n",0
"200",22166,"BT_2017","1",3,-1.01101321585903,1.02214772264162,1.461002013,"nonmast","low predator",-0.109578848,0,"n",0
"201",22230,"BT_2017","2",3,-1.01101321585903,1.02214772264162,-0.779512256,"nonmast","low predator",0.112469328,0,"n",0
"202",21969,"BT_2017","2",2,-0.0110132158590308,0.000121290923557608,-0.779512256,"nonmast","low predator",0.08074816,1,"n",0
"203",21969,"BT_2017","1",2,-0.0110132158590308,0.000121290923557608,2.058472485,"nonmast","low predator",0.08074816,1,"n",0
"204",21948,"BT_2017","1",4,-0.0110132158590308,0.000121290923557608,-0.779512256,"nonmast","low predator",-0.458511695,0,"n",0
